arm,dataset,t,mean,q25,q75,coverage,n_cells,baseline
0.30,vg_scale_any · clip-whole_image,0,0.45062266666666667,0.3706305,0.5706082499999999,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,1,,,,0.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,2,0.84336075,0.7739275,1.00766325,0.08333333333333333,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,3,0.726224125,0.47791575,0.89337425,0.16666666666666666,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,4,0.723188,0.576368,0.896686,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,5,0.6785258750000001,0.56349675,0.7754332500000001,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,6,0.58799225,0.4558865,0.70417375,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,7,0.5588202916666667,0.43927825,0.63955075,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,8,0.5264066458333333,0.407717,0.6319950000000001,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,9,0.5085122083333333,0.394992,0.5999,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,10,0.5004865833333333,0.361678,0.634614,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,11,0.48910872916666664,0.34878975,0.60117975,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,12,0.47867793750000004,0.35273750000000004,0.55820275,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,13,0.4689008333333333,0.3607475,0.542839,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,14,0.46156897916666667,0.35339625,0.5391965,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,15,0.45506097916666666,0.350924,0.5404797499999999,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,16,0.44629935416666666,0.35346475,0.5048175,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,17,0.4431045208333333,0.32299875,0.52349575,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,18,0.437860125,0.31752825,0.51440275,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,19,0.4320701458333333,0.32775275000000004,0.51088175,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,20,0.43332791666666665,0.344618,0.5239419999999999,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,21,0.43466168749999995,0.3462925,0.5210315,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,22,0.42932693749999995,0.332885,0.526409,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,23,0.4283401041666666,0.31244725,0.53308,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,24,0.4203227291666667,0.323203,0.5247705,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,25,0.4204614583333333,0.31307625,0.5297825,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,26,0.41693958333333336,0.30489175,0.522397,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,27,0.4083118333333333,0.3162775,0.5056695,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,28,0.40495389583333335,0.31074925,0.5023195,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,29,0.40126083333333334,0.30743475,0.5091225,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,30,0.40094802083333336,0.30779375,0.4736325,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,31,0.3973655208333333,0.29317875,0.47426999999999997,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,32,0.40085985416666664,0.30339574999999996,0.4851955,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,33,0.4006451458333333,0.31142475000000003,0.47118899999999997,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,34,0.4031967916666666,0.338094,0.47517750000000003,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,35,0.4013375833333333,0.33122,0.46703275,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,36,0.3982978750000001,0.327642,0.4688555,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,37,0.3964146041666667,0.3151255,0.4753135,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,38,0.39126972916666675,0.307708,0.45338825000000005,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,39,0.3921169166666667,0.302843,0.47231025,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,40,0.3924096875,0.31739575,0.47251525,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,41,0.38827516666666667,0.30472875,0.460231,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,42,0.3872533333333334,0.297984,0.47324449999999996,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,43,0.38741358333333337,0.30639875,0.47177274999999996,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,44,0.3873724166666667,0.29923125,0.46814900000000004,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,45,0.38530129166666666,0.301152,0.473012,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,46,0.38142024999999996,0.31475025,0.47126674999999996,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,47,0.3768814166666667,0.308654,0.46348575000000003,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,48,0.3798916666666667,0.3098545,0.456336,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,49,0.38222354166666667,0.31247325,0.45970599999999995,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,50,0.37866906250000004,0.30692225,0.45119,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,51,0.3798296666666667,0.313911,0.4463145,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,52,0.377368125,0.30894325,0.45605475,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,53,0.37532760416666666,0.31112025,0.442687,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,54,0.374562125,0.309171,0.446033,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,55,0.37877979166666664,0.32318925,0.4437505,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,56,0.37335081249999996,0.31877675,0.4371875,1.0,48,0.45062266666666667
0.30,vg_scale_any · clip-whole_image,57,0.3700777708333333,0.31100925,0.4377215,1.0,48,0.45062266666666667
